Symbol,Company_Name,Asset_Name,Highest_Phase,Market_Status,Active_Trial_Count,Next_Catalyst_Date,Mechanism_of_Action,Therapeutic_Area,Detailed_Conditions,Trial_NCTIds
CSWYY,China Shineway Pharmaceutical Group Limited,cisplatin and fluorouracil,PHASE3,Investigational,1,2026-08-31,Chemotherapy (platinum-based),Others,Nasopharyngeal Carcinoma; Nasopharyngeal Neoplasms; Nasopharyngeal Diseases; Head and Neck Neoplasm,NCT03840421
CSWYY,China Shineway Pharmaceutical Group Limited,component),PHASE3,Investigational,1,Passed,Vaccine (combination),Infectious Diseases,Whooping Cough; Diphtheria; Tetanus,NCT05091619
CSWYY,China Shineway Pharmaceutical Group Limited,desiccated thyroid extract (DTE)+levothyroxine (L-T4),PHASE3,Investigational,1,2027-11-30,Thyroid hormone replacement,Metabolic/Endocrinology,Intermediate-to-High Risk Differentiated Thyroid Cancer,NCT07239674
CSWYY,China Shineway Pharmaceutical Group Limited,docetaxel,PHASE3,Investigational,1,Passed,Chemotherapy (taxane),Others,Nasopharyngeal Carcinoma,NCT03503136
CSWYY,China Shineway Pharmaceutical Group Limited,gemcitabine,PHASE3,Investigational,1,Passed,Chemotherapy (nucleoside analog),Others,Nasopharyngeal Carcinoma,NCT06026878
CSWYY,China Shineway Pharmaceutical Group Limited,gemcitabine and cisplatin,PHASE3,Investigational,1,2026-08-31,"Chemotherapy (nucleoside analog, platinum-based)",Others,Nasopharyngeal Carcinoma; Nasopharyngeal Neoplasms; Nasopharyngeal Diseases; Head and Neck Neoplasm,NCT03840421
CSWYY,China Shineway Pharmaceutical Group Limited,gemcitabine and cisplatin (Induction chemotherapy),PHASE3,Investigational,1,2026-09-30,"Chemotherapy (nucleoside analog, platinum-based)",Others,Nasopharyngeal Carcinoma,NCT05979961
CSWYY,China Shineway Pharmaceutical Group Limited,golidocitinib,PHASE3,Investigational,1,2028-09-30,JAK inhibitor,"Others, Hematology",Peripheral T Cell Lymphoma,NCT07414758
CSWYY,China Shineway Pharmaceutical Group Limited,hepatitis B vaccine,PHASE3,Marketed,1,2028-06-01,Vaccine,Infectious Diseases,Transplant-Related Disorder; Hepatitis B Virus Infection; Vaccine Reaction,NCT06888479
CSWYY,China Shineway Pharmaceutical Group Limited,idarubicin,PHASE3,Investigational,1,2027-12-01,Anthracycline antibiotic,"Others, Hematology",AML; RUNX1-RUNX1T1 Fusion Protein Expression,NCT06744504
CSWYY,China Shineway Pharmaceutical Group Limited,mCapOX plus Cetuximab,PHASE3,Investigational,1,2028-09-30,"Chemotherapy (pyrimidine analog), EGFR inhibitor",Others,Colorectal Cancer (CRC); Capecitabine; Cetuximab,NCT06616259
CSWYY,China Shineway Pharmaceutical Group Limited,mFOLFOX6,PHASE3,Investigational,1,Passed,"Chemotherapy (platinum-based, oxaliplatin-based)",Others,Gastric Cancer; Gastroesophageal Junction Adenocarcinoma,NCT05052801
CSWYY,China Shineway Pharmaceutical Group Limited,mFOLFOX6 plus Cetuximab,PHASE3,Investigational,1,2028-09-30,"Chemotherapy (platinum-based, oxaliplatin-based), EGFR inhibitor",Others,Colorectal Cancer (CRC); Capecitabine; Cetuximab,NCT06616259
CSWYY,China Shineway Pharmaceutical Group Limited,nedaplatin,PHASE3,Investigational,1,Passed,Chemotherapy (platinum-based),Others,Nasopharyngeal Carcinoma,NCT03503136
CSWYY,China Shineway Pharmaceutical Group Limited,nimotuzumab,PHASE3,Investigational,1,Passed,EGFR antibody,"Others, Others",Nasopharyngeal Carcinoma,NCT06026878
CSWYY,China Shineway Pharmaceutical Group Limited,olverembatinib,PHASE3,Investigational,1,2029-12-31,BCR-ABL inhibitor,"Hematology, Others",Acute Lymphoblastic Leukemia (ALL) Philadelphia Chromosome-positive (Ph+); Childhood Leukemia; Acute Lymphoblastic,NCT07152041
CSWYY,China Shineway Pharmaceutical Group Limited,patients were assigned to receive TNT or iTNT management,PHASE3,Investigational,1,2027-12-31,Unknown,Others,Rectal Cancer,NCT07070622
CSWYY,China Shineway Pharmaceutical Group Limited,pertussis(acellular,PHASE3,Investigational,1,Passed,Vaccine,Infectious Diseases,Whooping Cough; Diphtheria; Tetanus,NCT05091619
CSWYY,China Shineway Pharmaceutical Group Limited,poliomyelitis(inactivated) vaccine(absorbed) and Haemophilus influenzae type b conjugate vaccine,PHASE3,Investigational,1,Passed,Vaccine,Infectious Diseases,Whooping Cough; Diphtheria; Tetanus,NCT05091619
CSWYY,China Shineway Pharmaceutical Group Limited,propranolol,PHASE3,Marketed,1,2026-06-30,Beta-blocker,"Dermatology, Others",Infantile Hemangioma,NCT06798363
CSWYY,China Shineway Pharmaceutical Group Limited,standard treatment,PHASE3,Investigational,1,2026-12-31,Unknown,"Others, Respiratory",Extensive-stage Small Cell Lung Cancer (ES-SCLC); The Pre-cachexia or Cachexia Patients Who Have Not Received Systemic Treatment and Are Not Eligible for Curative Therapy,NCT06961201
CSWYY,China Shineway Pharmaceutical Group Limited,steroids,PHASE3,Investigational,1,2035-12-31,Corticosteroid,Respiratory,Severe Community-acquired Pneumonia (sCAP),NCT07152587
CSWYY,China Shineway Pharmaceutical Group Limited,tetanus,PHASE3,Marketed,1,Passed,Vaccine,Infectious Diseases,Whooping Cough; Diphtheria; Tetanus,NCT05091619
CSWYY,China Shineway Pharmaceutical Group Limited,then Dapagliflozin+Standard Treatment for-12 weeks,PHASE3,Investigational,1,2026-12-31,SGLT2 inhibitor,Urology/Nephrology,Pediatric Hereditary Kidney Diseases,NCT06890143
CSWYY,China Shineway Pharmaceutical Group Limited,to maximum of,PHASE3,Investigational,1,2028-03-30,Unknown,Neurology/CNS,Acute Ischemic Stroke; Large Vessel Occlusion; Transportation of Patients,NCT07253181
CSWYY,China Shineway Pharmaceutical Group Limited,washout period for-4 weeks,PHASE3,Investigational,1,2026-12-31,Unknown,Urology/Nephrology,Pediatric Hereditary Kidney Diseases,NCT06890143
CSWYY,China Shineway Pharmaceutical Group Limited,washout period for-4 weeks，then Standard Treatment alone for12 weeks,PHASE3,Investigational,1,2026-12-31,Unknown,Urology/Nephrology,Pediatric Hereditary Kidney Diseases,NCT06890143
CSWYY,China Shineway Pharmaceutical Group Limited,with or without venetoclax,PHASE3,Investigational,1,2026-05-15,Bcl-2 inhibitor,"Hematology, Others",Acute Myeloid Leukemia,NCT05356169
CYTK,"Cytokinetics, Incorporated",Omecamtiv Mecarbil (OM),PHASE3,Investigational,1,2027-09-30,Cardiac myosin activator,Cardiovascular,Heart Failure; Heart Failure With Reduced Ejection Fraction,NCT06736574
DBVT,DBV Technologies S.A.,DBV712,PHASE3,Investigational,1,Passed,Allergen immunotherapy,Immunology,Allergy; Peanut,NCT05741476
DMAC,DiaMedica Therapeutics Inc.,Recombinant human tissue kallikrein,PHASE3,Investigational,1,2026-12-31,Tissue plasminogen activator analog,Neurology/CNS,Acute Stroke; Ischemic Stroke; Stroke,NCT05065216
DNLI,Denali Therapeutics Inc.,idursulfase,PHASE3,Marketed,1,2027-12-31,Enzyme replacement therapy,Rare Disease,Mucopolysaccharidosis II,NCT05371613
DXNH.F,Eurobio Scientific Société anonyme,Docetaxel,PHASE3,Marketed,1,2027-12-15,Taxane,Others,Patients With Non-Small Cell Lung Cancer,NCT06472245
DXNH.F,Eurobio Scientific Société anonyme,OSE2101,PHASE3,Investigational,1,2027-12-15,Unknown,Others,Patients With Non-Small Cell Lung Cancer,NCT06472245
DYMDF,Diamyd Medical AB (publ),Recombinant human glutamic acid decarboxylase (rhGAD65) formulated in Alhydrogel®,PHASE3,Marketed,1,2027-12-31,Immunomodulator,"Metabolic/Endocrinology, Immunology",Type 1 Diabetes Mellitus,NCT05018585
FOLD,"Amicus Therapeutics, Inc.",Cipaglucosidase Alfa,PHASE3,Investigational,1,2026-06-30,Enzyme replacement therapy,"Rare Disease, Musculoskeletal",Pompe Disease (Late-onset),NCT03911505
FOLD,"Amicus Therapeutics, Inc.",Migalastat HCl,PHASE3,Marketed,1,2027-12-31,Chaperone therapy,"Rare Disease, Others",Fabry Disease,NCT06904261
GALDY,Galderma Group AG,Trifarotene,PHASE3,Marketed,1,2026-12-31,Retinoid receptor agonist,Dermatology,Acne Vulgaris,NCT07186413
GALDY,Galderma Group AG,Vehicle,PHASE3,Investigational,1,2026-12-31,Unknown,Dermatology,Acne Vulgaris,NCT07186413
GERNW,Geron Corporation WT EXP 123125,Best Available Therapy (BAT),PHASE3,Investigational,1,2028-06-30,Unknown,Hematology,Myelofibrosis,NCT04576156
GERNW,Geron Corporation WT EXP 123125,Imetelstat Sodium,PHASE3,Investigational,1,Passed,Telomerase inhibitor,Hematology,Myelodysplastic Syndromes,NCT02598661
GNIIF,GNI Group Ltd.,Pirfenidone,PHASE3,Marketed,1,2026-09-30,Antifibrotic,Respiratory,Pneumoconiosis,NCT05288179
GNIIF,GNI Group Ltd.,Pirfenidone Capsules （400 mg）,PHASE3,Marketed,1,2026-10-30,Antifibrotic,Respiratory,Radiation-induced Lung Injury; Immune-related Pneumonia,NCT07388680
GNIIF,GNI Group Ltd.,Pirfenidone Capsules（0mg）,PHASE3,Investigational,1,2026-10-30,Unknown,Respiratory,Radiation-induced Lung Injury; Immune-related Pneumonia,NCT07388680
GNIIF,GNI Group Ltd.,Pirfenidone Capsules（600mg）,PHASE3,Marketed,1,2026-10-30,Antifibrotic,Respiratory,Radiation-induced Lung Injury; Immune-related Pneumonia,NCT07388680
GRCE,"Grace Therapeutics, Inc.",GTX-104,PHASE3,Investigational,1,Passed,Unknown,Neurology/CNS,Aneurysmal Subarachnoid Hemorrhage (aSAH),NCT05995405
GRCE,"Grace Therapeutics, Inc.",Nimotop-30 MG,PHASE3,Marketed,1,Passed,Calcium channel blocker,Neurology/CNS,Aneurysmal Subarachnoid Hemorrhage (aSAH),NCT05995405
GTBIF,Green Thumb Industries Inc.,Chemotherapy,PHASE3,Investigational,1,2030-01-01,Cytotoxic chemotherapy,Others,Endometrial Cancer,NCT05255653
GTBIF,Green Thumb Industries Inc.,Durvalumab,PHASE3,Marketed,1,2030-01-01,PD-L1 antibody,"Others, Immunology",Endometrial Cancer,NCT05255653
GTBIF,Green Thumb Industries Inc.,LAENNEC (Human Placenta Hydrolysate),PHASE3,Investigational,1,2026-03-31,Unknown,Gastroenterology,Chronic Liver Disease,NCT06493799
GTBIF,Green Thumb Industries Inc.,Medroxyprogesterone Acetate,PHASE3,Marketed,1,2030-01-01,Progestin,"Others, Metabolic/Endocrinology",Endometrial Cancer,NCT05255653
GTBIF,Green Thumb Industries Inc.,Megestrol Acetate,PHASE3,Marketed,1,2030-01-01,Progestin,"Others, Metabolic/Endocrinology",Endometrial Cancer,NCT05255653
GTBIF,Green Thumb Industries Inc.,Olaparib,PHASE3,Marketed,1,2030-01-01,PARP inhibitor,Others,Endometrial Cancer,NCT05255653
HITI,High Tide Inc.,ICG-guided bowel perfusion assessment,PHASE3,Investigational,1,2026-07-01,Near-infrared fluorescence imaging,"Gastroenterology, Others",Colo-rectal Cancer; Colonic Neoplasms Malignant,NCT06845306
HITI,High Tide Inc.,PAXG,PHASE3,Investigational,1,Passed,Unknown,"Others, Gastroenterology",Pancreas Ductal Adenocarcinoma,NCT04793932
HITI,High Tide Inc.,long-course chemotherapy,PHASE3,Investigational,1,Passed,Chemotherapy,"Others, Gastroenterology",Pancreas Ductal Adenocarcinoma,NCT04793932
HITI,High Tide Inc.,mFOLFIRINOX,PHASE3,Investigational,1,Passed,Chemotherapy,"Others, Gastroenterology",Pancreas Ductal Adenocarcinoma,NCT04793932
HITI,High Tide Inc.,short-course chemotherapy,PHASE3,Investigational,1,Passed,Chemotherapy,"Others, Gastroenterology",Pancreas Ductal Adenocarcinoma,NCT04793932
HLBBF,H. Lundbeck A/S,Amlenetug,PHASE3,Investigational,1,2028-02-17,Unknown,"Neurology/CNS, Rare Disease",Multiple System Atrophy,NCT06706622
HLN,Haleon plc,Potassium nitrate Dentifrice,PHASE3,Investigational,1,2026-08-31,Desensitizing agent,"Dermatology, Pain",Dentin Hypersensitivity,NCT07215767
HLN,Haleon plc,Stannous fluoride Dentifrice,PHASE3,Investigational,1,2026-08-31,Desensitizing agent,"Dermatology, Pain",Dentin Hypersensitivity,NCT07215767
HLN,Haleon plc,Stannous fluoride and Potassium nitrate Dentifrice,PHASE3,Investigational,1,2026-08-31,Desensitizing agent,"Dermatology, Pain",Dentin Hypersensitivity,NCT07215767
HLN,Haleon plc,Vehicle Dentifrice,PHASE3,Investigational,1,2026-08-31,Vehicle,"Dermatology, Pain",Dentin Hypersensitivity,NCT07215767
HNSBF,Hansa Biopharma AB (publ),Imlifidase administered in the-20-HMedIdeS-19 (PAES) study,PHASE3,Investigational,1,2030-04-30,Enzyme inhibitor,"Immunology, Rare Disease",Long Term Efficacy and Safety,NCT05937750
HUMA,"Humacyte, Inc.",Acellular Tissue Engineered Vessel (ATEV),PHASE3,Investigational,1,2026-10-31,Vascular graft,"Cardiovascular, Urology/Nephrology",End Stage Renal Disease (ESRD),NCT05908084
HUMA,"Humacyte, Inc.",Human Acellular Vessel (HAV),PHASE3,Investigational,1,2027-09-01,Vascular graft,"Cardiovascular, Others",Trauma; Vascular System Injury,NCT03005418
IDRSF,Idorsia Ltd,Lucerastat,PHASE3,Investigational,1,2029-08-31,Enzyme replacement,"Rare Disease, Metabolic/Endocrinology",Fabry Disease,NCT03737214
ILPLF,Island Pharmaceuticals Limited,Arm I Carboplatin,PHASE3,Investigational,1,2026-06-01,Chemotherapy,"Others, Others",Head and Neck Neoplasms,NCT06998069
ILPLF,Island Pharmaceuticals Limited,Arm II Carboplatin,PHASE3,Investigational,1,2026-06-01,Chemotherapy,"Others, Others",Head and Neck Neoplasms,NCT06998069
ILPLF,Island Pharmaceuticals Limited,Arm III Pembrolizumab,PHASE3,Investigational,1,2026-06-01,PD-1 antibody,"Others, Others",Head and Neck Neoplasms,NCT06998069
ILPLF,Island Pharmaceuticals Limited,Botulinum toxin,PHASE3,Marketed,1,Passed,Neuromuscular blocking agent,"Musculoskeletal, Infectious Diseases",Carpometacarpal Sprain; Thumb Sprain; Clostridium; Botulinum,NCT05990881
ILPLF,Island Pharmaceuticals Limited,Buprenorphine,PHASE3,Marketed,1,2027-08-01,Opioid receptor partial agonist,"Neurology/CNS, Others",Opioid Use Disorder,NCT06316830
ILPLF,Island Pharmaceuticals Limited,Cetuximab,PHASE3,Marketed,1,2026-06-01,EGFR inhibitor,"Others, Others",Head and Neck Neoplasms,NCT06998069
ILPLF,Island Pharmaceuticals Limited,Enalapril,PHASE3,Marketed,1,2027-10-15,ACE inhibitor,"Cardiovascular, Urology/Nephrology",Preeclampsia; Hypertensive Disorder of Pregnancy; Hypertension; Gestational Hypertension; Gestational Hypertension After Childbirth,NCT07222852
ILPLF,Island Pharmaceuticals Limited,Ferric derisomaltose,PHASE3,Marketed,1,2027-03-30,Iron supplement,"Hematology, Others",Iron Deficiency Anemia; Pregnancy,NCT05462704
ILPLF,Island Pharmaceuticals Limited,Ferrous sulfate,PHASE3,Marketed,1,2027-03-30,Iron supplement,"Hematology, Others",Iron Deficiency Anemia; Pregnancy,NCT05462704
ILPLF,Island Pharmaceuticals Limited,Paclitaxel,PHASE3,Marketed,1,2026-06-01,Microtubule-stabilizing agent,Others,Head and Neck Neoplasms,NCT06998069
ILPLF,Island Pharmaceuticals Limited,Pembrolizumab,PHASE3,Marketed,1,2026-06-01,PD-1 antibody,"Immunology, Others",Head and Neck Neoplasms,NCT06998069
ILPLF,Island Pharmaceuticals Limited,Standard-of-care corticosteroid injections,PHASE3,Investigational,1,Passed,Botulinum toxin,"Musculoskeletal, Infectious Diseases",Carpometacarpal Sprain; Thumb Sprain; Clostridium; Botulinum,NCT05990881
ILPLF,Island Pharmaceuticals Limited,Statins,PHASE3,Marketed,1,2027-06-30,HMG-CoA reductase inhibitor,"Cardiovascular, Neurology/CNS",Intracerebral Hemorrhage,NCT03936361
ILPLF,Island Pharmaceuticals Limited,Use of topical estradiol,PHASE3,Marketed,1,2026-09-01,Estrogen replacement therapy,"Metabolic/Endocrinology, Others",Postoperative Bleeding; Gender Dysphoria; Hysterectomy,NCT06969326
IMVT,"Immunovant, Inc.",Batoclimab-340 mg SC bi-weekly,PHASE3,Investigational,1,Passed,FcRn inhibitor,Immunology,Generalized Myasthenia Gravis,NCT05403541
IMVT,"Immunovant, Inc.",Batoclimab-680 mg SC weekly,PHASE3,Investigational,1,Passed,FcRn inhibitor,Immunology,Generalized Myasthenia Gravis,NCT05403541
INSM,Insmed Incorporated,Treprostinil Palmitil,PHASE3,Marketed,1,2026-12-31,Prostacyclin analog,"Cardiovascular, Respiratory",Pulmonary Arterial Hypertension,NCT05649748
IRON,"Disc Medicine, Inc.",DISC-1459,PHASE3,Investigational,1,2026-10-31,Unknown,"Hematology, Rare Disease",Erythropoietic Protoporphyria (EPP); X-Linked Protoporphyria (XLP),NCT06910358
IVA,Inventiva S.A.,IVA337,PHASE3,Investigational,1,Passed,Unknown,"Metabolic/Endocrinology, Gastroenterology",NASH - Nonalcoholic Steatohepatitis,NCT04849728
IVVD,"Invivyd, Inc.",VYD2311-MD,PHASE3,Investigational,1,2026-03-31,Unknown,Infectious Diseases,COVID-19,NCT07298434
IVVD,"Invivyd, Inc.",VYD2311-SD,PHASE3,Investigational,1,2026-03-31,Unknown,Infectious Diseases,COVID-19,NCT07298434
IXHL,Incannex Healthcare Inc.,Acetazolamide,PHASE3,Marketed,1,2026-12-31,Carbonic anhydrase inhibitor,Respiratory,Obstructive Sleep Apnea,NCT06146101
IXHL,Incannex Healthcare Inc.,Dronabinol,PHASE3,Marketed,1,2026-12-31,Cannabinoid agonist,"Neurology/CNS, Respiratory",Obstructive Sleep Apnea,NCT06146101
IXHL,Incannex Healthcare Inc.,IHL-42X,PHASE3,Investigational,1,2026-12-31,Unknown,Respiratory,Obstructive Sleep Apnea,NCT06146101
IXHL,Incannex Healthcare Inc.,IHL-42X (Optimal Dose),PHASE3,Investigational,1,2026-12-31,Unknown,Respiratory,Obstructive Sleep Apnea,NCT06146101
KKPCF,"Kaken Pharmaceutical Co., Ltd.",KP-001,PHASE3,Investigational,1,2028-02-29,Unknown,"Rare Disease, Dermatology",Venous Malformations; Lymphatic Malformations; Klippel-Trenaunay Syndrome; CLOVES Syndrome,NCT07285005
KOD,Kodiak Sciences Inc.,Aflibercept,PHASE3,Marketed,1,2026-08-31,VEGF inhibitor,Ophthalmology,Wet Age-related Macular Degeneration,NCT06556368
KOD,Kodiak Sciences Inc.,Tabirafusp tedromer,PHASE3,Investigational,1,2026-08-31,Antibody-drug conjugate,Ophthalmology,Wet Age-related Macular Degeneration,NCT06556368
KOD,Kodiak Sciences Inc.,Tarcocimab,PHASE3,Investigational,1,Passed,Antibody,Ophthalmology,Diabetic Retinopathy,NCT06270836
KOD,Kodiak Sciences Inc.,Tarcocimab tedromer,PHASE3,Investigational,1,2026-08-31,Antibody-drug conjugate,Ophthalmology,Wet Age-related Macular Degeneration,NCT06556368
KRYS,"Krystal Biotech, Inc.",KB803,PHASE3,Investigational,1,2026-12-31,Unknown,"Dermatology, Rare Disease",Dystrophic Epidermolysis Bullosa; DEB - Dystrophic Epidermolysis Bullosa; Recessive Dystrophic Epidermolysis Bullosa; Dominant Dystrophic Epidermolysis Bullosa,NCT07016750
KYTX,"Kyverna Therapeutics, Inc.",Standard of Care Treatment,PHASE3,Investigational,1,2027-09-30,Immunomodulator,"Neurology/CNS, Immunology",Myasthenia Gravis; Generalized Myasthenia Gravis,NCT06193889
LBRX,LB Pharmaceuticals Inc,LB-102,PHASE3,Investigational,1,2028-12-31,Dopamine antagonist,Neurology/CNS,Schizophrenia,NCT07369154
LBRX,LB Pharmaceuticals Inc,LB-102 (100 mg tablet),PHASE3,Investigational,1,2027-06-30,Dopamine antagonist,Neurology/CNS,Schizophrenia,NCT07363577
LBRX,LB Pharmaceuticals Inc,LB-102 (50 mg tablet),PHASE3,Investigational,1,2027-06-30,Dopamine antagonist,Neurology/CNS,Schizophrenia,NCT07363577
LJUIF,SSY Group Limited,Butylphthalide,PHASE3,Investigational,1,Passed,Unknown,"Cardiovascular, Pain",ST-segment Elevation Myocardial Infarction (STEMI),NCT06704685
LQDA,Liquidia Corporation,L606,PHASE3,Investigational,1,2029-07-31,Prostacyclin analog,Respiratory,Pulmonary Hypertension Due to Lung Disease (Disorder),NCT07285655
LQDA,Liquidia Corporation,LIQ861 Inhaled Treprostinil,PHASE3,Investigational,1,Passed,Prostacyclin analog,Respiratory,Primary Pulmonary Hypertension,NCT03992755
MBGPF,Moberg Pharma AB (publ),MOB015B,PHASE3,Investigational,1,Passed,Antifungal agent,"Infectious Diseases, Dermatology",Onychomycosis,NCT05279846
MDDVF,Medical Developments International Limited,Methoxyflurane,PHASE3,Investigational,1,2029-06-30,Inhaled anesthetic,"Pain, Cardiovascular",STEMI - ST Elevation Myocardial Infarction,NCT07445737
MDDVF,Medical Developments International Limited,Morphine,PHASE3,Marketed,1,2029-06-30,Opioid analgesic,"Pain, Cardiovascular",STEMI - ST Elevation Myocardial Infarction,NCT07445737
MDGL,"Madrigal Pharmaceuticals, Inc.",MGL-3196,PHASE3,Investigational,1,2028-01-31,Thyroid hormone receptor agonist,"Metabolic/Endocrinology, Gastroenterology",NASH - Nonalcoholic Steatohepatitis,NCT03900429
MESO,Mesoblast Limited,Rexlemestrocel-L + HA mixture,PHASE3,Investigational,1,2026-10-31,Stem cell therapy,Musculoskeletal,Degenerative Disc Disease,NCT06325566
MIRM,"Mirum Pharmaceuticals, Inc.",Brelovitug (BJT-778),PHASE3,Investigational,1,2027-08-31,Hepatitis B virus entry inhibitor,"Infectious Diseases, Gastroenterology",Chronic Hepatitis D,NCT07454837
MIRM,"Mirum Pharmaceuticals, Inc.",Bulevirtide,PHASE3,Investigational,1,2027-08-31,Hepatitis B virus entry inhibitor,"Infectious Diseases, Gastroenterology",Chronic Hepatitis D,NCT07454837
MIRM,"Mirum Pharmaceuticals, Inc.",Bulevirtide-2 mg and Brelovitug -,PHASE3,Investigational,1,2027-06-30,Hepatitis B virus entry inhibitor,"Infectious Diseases, Gastroenterology",Chronic Hepatitis D Infection,NCT07200908
MIST,Milestone Pharmaceuticals Inc.,Etripamil,PHASE3,Investigational,1,2029-01-31,Calcium channel blocker,Cardiovascular,Atrial Fibrillation,NCT06716021
MLTX,MoonLake Immunotherapeutics,Risankizumab,PHASE3,Marketed,1,2027-01-15,IL-23 inhibitor,"Immunology, Musculoskeletal",Arthritis; Psoriatic,NCT06641089
MLYS,"Mineralys Therapeutics, Inc.",lorundrostat,PHASE3,Investigational,1,Passed,Endothelin receptor antagonist,Cardiovascular,Hypertension,NCT05968430
MNKD,MannKind Corporation,Inhaled Technosphere Insulin,PHASE3,Marketed,1,Passed,Insulin,Metabolic/Endocrinology,Diabetes; Gestational; Pregnancy Complications; Glucose Metabolism Disorders; Glucose Intolerance During Pregnancy,NCT06535789
NURPF,Neuren Pharmaceuticals Limited,NNZ-2591,PHASE3,Investigational,1,2027-10-31,GABAergic modulator,"Rare Disease, Neurology/CNS",Phelan-McDermid Syndrome,NCT07281079
NVAX,"Novavax, Inc.",CIC Vaccine Co-formulated tNIV2,PHASE3,Investigational,1,2026-07-26,COVID-19 vaccine,Infectious Diseases,COVID-19,NCT06291857
NVAX,"Novavax, Inc.",Fluzone,PHASE3,Marketed,1,2026-07-26,Influenza vaccine,Infectious Diseases,COVID-19,NCT06291857
NVAX,"Novavax, Inc.",Novavax COVID-19 Vaccine,PHASE3,Marketed,1,2026-07-26,COVID-19 vaccine,Infectious Diseases,COVID-19,NCT06291857
NVAX,"Novavax, Inc.",SARS-CoV-2 rS/Matrix-M1 Adjuvant (Initial Vaccination Period),PHASE3,Investigational,1,Passed,COVID-19 vaccine,Infectious Diseases,COVID-19,NCT05468736
NVAX,"Novavax, Inc.",SARSCoV-2 rS and Matrix-M Adjuvant,PHASE3,Investigational,1,2026-07-26,COVID-19 vaccine,Infectious Diseases,COVID-19,NCT06291857
NVAX,"Novavax, Inc.",tNIV Vaccine,PHASE3,Investigational,1,2026-07-26,COVID-19 vaccine,Infectious Diseases,COVID-19,NCT06291857
NVO,Novo Nordisk A/S,Cagrisema,PHASE3,Investigational,1,2027-11-29,"GLP-1 receptor agonist, Amylin receptor agonist",Metabolic/Endocrinology,Overweight; Obesity,NCT07357766
NVO,Novo Nordisk A/S,Etavopivat A,PHASE3,Investigational,1,2030-12-30,Allosteric activator of pyruvate kinase R2,"Hematology, Rare Disease",Sickle Cell Disease; Thalassemia,NCT06609226
NVO,Novo Nordisk A/S,Etavopivat B,PHASE3,Investigational,1,2030-12-30,Allosteric activator of pyruvate kinase R2,"Hematology, Rare Disease",Sickle Cell Disease; Thalassemia,NCT06609226
NVO,Novo Nordisk A/S,Etavopivat C,PHASE3,Investigational,1,2030-12-30,Allosteric activator of pyruvate kinase R2,"Hematology, Rare Disease",Sickle Cell Disease; Thalassemia,NCT06609226
NVO,Novo Nordisk A/S,Insulin aspart,PHASE3,Marketed,1,2026-11-23,Insulin analog,Metabolic/Endocrinology,Diabetes Mellitus; Type 1,NCT07076199
NVO,Novo Nordisk A/S,Insulin glargine,PHASE3,Marketed,1,2026-11-23,Insulin analog,Metabolic/Endocrinology,Diabetes Mellitus; Type 1,NCT07076199
NVO,Novo Nordisk A/S,Mim8,PHASE3,Investigational,1,2028-06-30,Bispecific antibody,Hematology,Haemophilia A; Haemophilia A With Inhibitors,NCT05685238
NVO,Novo Nordisk A/S,Oral semaglutide,PHASE3,Marketed,1,2026-08-21,GLP-1 receptor agonist,Metabolic/Endocrinology,Type 2 Diabetes,NCT07271251
NVO,Novo Nordisk A/S,Recombinant Activated Factor VII (rFVIIa),PHASE3,Investigational,1,2028-01-01,Recombinant activated factor VII,"Hematology, Neurology/CNS",Intracerebral Hemorrhage,NCT03496883
NVO,Novo Nordisk A/S,Recombinant Factor VIIa,PHASE3,Marketed,1,2029-01-31,Recombinant factor VIIa,"Hematology, Neurology/CNS",Intracerebral Hemorrhage,NCT07227246
NVO,Novo Nordisk A/S,Semagludtide,PHASE3,Investigational,1,Passed,GLP-1 receptor agonist,"Neurology/CNS, Metabolic/Endocrinology",Early Alzheimer's Disease,NCT04777396
NVO,Novo Nordisk A/S,Ziltivekimab B,PHASE3,Investigational,1,2026-06-26,IL-6 inhibitor,"Cardiovascular, Urology/Nephrology",Cardiovascular Risk; Chronic Kidney Disease; Inflammation,NCT05021835
NVO,Novo Nordisk A/S,Ziltivekimab C,PHASE3,Investigational,1,2026-06-26,IL-6 inhibitor,"Cardiovascular, Urology/Nephrology",Cardiovascular Risk; Chronic Kidney Disease; Inflammation,NCT05021835
NWPHF,Newron Pharmaceuticals S.p.A.,Evenamide,PHASE3,Investigational,1,2026-09-01,Unknown,Neurology/CNS,Treatment-resistant Schizophrenia,NCT07184619
OCGN,"Ocugen, Inc.",OCU410ST,PHASE3,Investigational,1,2026-09-28,Gene therapy,"Ophthalmology, Rare Disease",Stargardt Disease,NCT05956626
OCUTF,Ocumension Therapeutics,OT-101,PHASE3,Investigational,1,2027-03-31,Unknown,"Ophthalmology, Others",Myopia; Progressive,NCT04770610
OCUTF,Ocumension Therapeutics,Vehicle,PHASE3,Investigational,1,2027-03-31,Unknown,"Ophthalmology, Others",Myopia; Progressive,NCT04770610
ORMP,Oramed Pharmaceuticals Inc.,ORMD-0801,PHASE3,Investigational,1,2027-04-25,GLP-1 receptor agonist,Metabolic/Endocrinology,Type 2 Diabetes Mellitus,NCT06731075
ORPOF,OSE Immunotherapeutics SA,Docetaxel,PHASE3,Marketed,1,2027-12-15,Microtubule inhibitor,"Respiratory, Others",Patients With Non-Small Cell Lung Cancer,NCT06472245
